编号,类别,指令文本,期望行为(normal/reject),golden_报表类型,golden_开始,golden_结束,golden_市场,你的判定(OK/改),备注,解析器预测_类型,解析器预测_开始,解析器预测_结束,解析器预测_市场
A01,日报-相对,生成昨日日报,normal,daily,2011-12-08,2011-12-08,ALL,,,daily,2011-12-08,2011-12-08,ALL
A02,日报-相对,出一下昨天的日报,normal,daily,2011-12-08,2011-12-08,ALL,,,daily,2011-12-08,2011-12-08,ALL
A03,日报-相对,帮我做前天的销售日报,normal,daily,2011-12-07,2011-12-07,ALL,,,daily,2011-12-07,2011-12-07,ALL
A04,日报-相对,生成今日日报,normal,daily,2011-12-09,2011-12-09,ALL,,,daily,2011-12-09,2011-12-09,ALL
A05,日报-相对,来一份昨天德国的日报,normal,daily,2011-12-08,2011-12-08,Germany,,,daily,2011-12-08,2011-12-08,Germany
A06,日报-相对,昨天全市场日报,normal,daily,2011-12-08,2011-12-08,ALL,,,daily,2011-12-08,2011-12-08,ALL
B01,周报-相对,生成上周周报,normal,weekly,2011-11-28,2011-12-04,ALL,,,weekly,2011-11-28,2011-12-04,ALL
B02,周报-相对,上一周的周报帮我做一下,normal,weekly,2011-11-28,2011-12-04,ALL,,,weekly,2011-11-28,2011-12-04,ALL
B03,周报-相对,本周周报,normal,weekly,2011-12-05,2011-12-11,ALL,,,weekly,2011-12-05,2011-12-11,ALL
B04,周报-相对,这周英国周报,normal,weekly,2011-12-05,2011-12-11,United Kingdom,,,weekly,2011-12-05,2011-12-11,United Kingdom
B05,周报-相对,上周德国周报,normal,weekly,2011-11-28,2011-12-04,Germany,,,weekly,2011-11-28,2011-12-04,Germany
B06,周报-相对,上礼拜的全市场周报,normal,weekly,2011-11-28,2011-12-04,ALL,,,weekly,2011-11-28,2011-12-04,ALL
C01,月报-相对,生成上月月报,normal,monthly,2011-11-01,2011-11-30,ALL,,,monthly,2011-11-01,2011-11-30,ALL
C02,月报-相对,上个月月报,normal,monthly,2011-11-01,2011-11-30,ALL,,,monthly,2011-11-01,2011-11-30,ALL
C03,月报-相对,本月月报,normal,monthly,2011-12-01,2011-12-31,ALL,,,monthly,2011-12-01,2011-12-31,ALL
C04,月报-相对,这个月法国月报,normal,monthly,2011-12-01,2011-12-31,France,,,monthly,2011-12-01,2011-12-31,France
C05,月报-相对,上月全市场月报,normal,monthly,2011-11-01,2011-11-30,ALL,,,monthly,2011-11-01,2011-11-30,ALL
D01,绝对日期,生成2011年11月22日的日报,normal,daily,2011-11-22,2011-11-22,ALL,,,daily,2011-11-22,2011-11-22,ALL
D02,绝对区间,生成2010年11月22日到28日的周报,normal,weekly,2010-11-22,2010-11-28,ALL,,,weekly,2010-11-22,2010-11-28,ALL
D03,绝对区间,2010/12/05 到 2010/12/11 的周报,normal,weekly,2010-12-05,2010-12-11,ALL,,,weekly,2010-12-05,2010-12-11,ALL
D04,绝对日期,2011-09-15 日报,normal,daily,2011-09-15,2011-09-15,ALL,,,daily,2011-09-15,2011-09-15,ALL
D05,绝对日期,生成2011年10月月报,normal,monthly,2011-10-01,2011-10-31,ALL,,,monthly,2011-10-01,2011-10-31,ALL
