order_id,order_item_no,sku,product_name,quantity,unit_price,amount,is_refund,is_product,order_time,order_date,customer_id,country,source_sheet
489522,37,21143,ANTIQUE GLASS HEART DECORATION,7,1.95,13.65,0,1,2009-12-01 11:45:00,2009-12-01,15998,United Kingdom,Year 2009-2010
489547,14,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,1.95,19.5,0,1,2009-12-01 12:30:00,2009-12-01,13599,United Kingdom,Year 2009-2010
489573,13,84509A,ENGLISH ROSE PLACEMATS,1,3.75,3.75,0,1,2009-12-01 13:29:00,2009-12-01,15051,United Kingdom,Year 2009-2010
489597,158,10123C,HEARTS WRAPPING TAPE,3,1.3,3.9,0,1,2009-12-01 14:28:00,2009-12-01,-1,United Kingdom,Year 2009-2010
489600,27,72807c,SET/3 VANILLA SCENTED CANDLE IN BOX,1,8.65,8.65,0,1,2009-12-01 14:43:00,2009-12-01,-1,United Kingdom,Year 2009-2010
489645,23,20831,GOLD PHOTO FRAME,3,2.1,6.3,0,1,2009-12-01 16:34:00,2009-12-01,17191,United Kingdom,Year 2009-2010
489702,26,21477,STRING OF 20 ROSE LIGHTS,20,10.95,219.0,0,1,2009-12-02 10:52:00,2009-12-02,17511,United Kingdom,Year 2009-2010
489793,10,22224,WHITE LOVEBIRD LANTERN,6,2.95,17.7,0,1,2009-12-02 12:09:00,2009-12-02,17476,United Kingdom,Year 2009-2010
489821,1,85049G,UNKNOWN,-240,0.0,0.0,1,1,2009-12-02 13:25:00,2009-12-02,-1,United Kingdom,Year 2009-2010
489856,118,21876,POTTERING MUG,4,3.43,13.72,0,1,2009-12-02 14:36:00,2009-12-02,-1,United Kingdom,Year 2009-2010
489857,190,84578,ELEPHANT TOY WITH BLUE T-SHIRT,1,4.3,4.3,0,1,2009-12-02 14:43:00,2009-12-02,-1,United Kingdom,Year 2009-2010
489867,7,21232,STRAWBERRY CERAMIC TRINKET BOX,4,1.25,5.0,0,1,2009-12-02 15:08:00,2009-12-02,-1,United Kingdom,Year 2009-2010
489902,2,22121,NOEL WOODEN BLOCK LETTERS,2,5.95,11.9,0,1,2009-12-03 09:52:00,2009-12-03,14838,United Kingdom,Year 2009-2010
490011,12,21213,PACK OF 72 SKULL CAKE CASES,3,0.55,1.65,0,1,2009-12-03 12:27:00,2009-12-03,16918,United Kingdom,Year 2009-2010
490056,12,21590,KINGS CHOICE CIGAR BOX MATCHES,1,1.25,1.25,0,1,2009-12-03 13:25:00,2009-12-03,13208,United Kingdom,Year 2009-2010
490074,266,22115,METAL SIGN EMPIRE TEA,1,6.04,6.04,0,1,2009-12-03 14:39:00,2009-12-03,-1,United Kingdom,Year 2009-2010
490087,16,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,12,1.25,15.0,0,1,2009-12-03 15:49:00,2009-12-03,15601,United Kingdom,Year 2009-2010
490115,3,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,8,3.75,30.0,0,1,2009-12-03 17:32:00,2009-12-03,17679,United Kingdom,Year 2009-2010
490143,60,20972,PINK CREAM FELT CRAFT TRINKET BOX,12,1.25,15.0,0,1,2009-12-04 08:40:00,2009-12-04,14286,United Kingdom,Year 2009-2010
490149,417,21738,COSY SLIPPER SHOES SMALL  RED,2,6.04,12.08,0,1,2009-12-04 09:43:00,2009-12-04,-1,United Kingdom,Year 2009-2010
490214,20,21622,VINTAGE UNION JACK CUSHION COVER,4,4.95,19.8,0,1,2009-12-04 12:11:00,2009-12-04,13175,United Kingdom,Year 2009-2010
490293,12,21192,WHITE BELL HONEYCOMB PAPER,4,1.65,6.6,0,1,2009-12-04 13:31:00,2009-12-04,16699,United Kingdom,Year 2009-2010
490312,34,72724,SET/6 CHRISTMAS ICICLE T-LIGHTS,2,1.25,2.5,0,1,2009-12-04 15:16:00,2009-12-04,17961,United Kingdom,Year 2009-2010
490372,8,21294,ETCHED GLASS COASTER,12,1.25,15.0,0,1,2009-12-05 12:13:00,2009-12-05,17115,United Kingdom,Year 2009-2010
490403,19,22176,BLUE OWL SOFT TOY,1,2.95,2.95,0,1,2009-12-06 11:13:00,2009-12-06,17920,United Kingdom,Year 2009-2010
490494,10,84206C,CHAMPAGNE TRAY BLANK CARD,1,0.19,0.19,0,1,2009-12-06 13:29:00,2009-12-06,17561,United Kingdom,Year 2009-2010
490522,6,21781,MA CAMPAGNE CUTLERY BOX,3,14.95,44.85,0,1,2009-12-06 15:31:00,2009-12-06,15641,United Kingdom,Year 2009-2010
C490469,3,84466,TOP SECRET PEN SET,-1,1.25,-1.25,1,1,2009-12-06 12:23:00,2009-12-06,16395,United Kingdom,Year 2009-2010
490605,12,20829,GLITTER HANGING BUTTERFLY STRING,8,2.1,16.8,0,1,2009-12-07 11:20:00,2009-12-07,15115,United Kingdom,Year 2009-2010
490676,12,82483,WOOD 2 DRAWER CABINET WHITE FINISH,6,4.95,29.7,0,1,2009-12-07 13:17:00,2009-12-07,17850,United Kingdom,Year 2009-2010
490706,18,21864,UNION JACK FLAG PASSPORT COVER,15,2.1,31.5,0,1,2009-12-07 14:58:00,2009-12-07,17865,United Kingdom,Year 2009-2010
490737,14,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,8.5,17.0,0,1,2009-12-07 17:18:00,2009-12-07,17270,United Kingdom,Year 2009-2010
490741,495,21992,VINTAGE PAISLEY STATIONERY SET,1,6.04,6.04,0,1,2009-12-07 17:56:00,2009-12-07,-1,United Kingdom,Year 2009-2010
490745,441,85031C,CURIOUS IMAGES SCRAP BOOK SET,16,3.43,54.88,0,1,2009-12-07 18:02:00,2009-12-07,-1,United Kingdom,Year 2009-2010
490811,14,84705B,FAIRY CAKES PHOTO FRAME,24,1.25,30.0,0,1,2009-12-08 12:30:00,2009-12-08,18145,United Kingdom,Year 2009-2010
490937,1,22273,FELTCRAFT DOLL MOLLY,24,2.95,70.8,0,1,2009-12-08 13:58:00,2009-12-08,13081,United Kingdom,Year 2009-2010
490957,147,21388,IVORY HANGING DECORATION  CHICKEN,12,0.85,10.2,0,1,2009-12-08 15:12:00,2009-12-08,15823,United Kingdom,Year 2009-2010
490964,21,21930,JUMBO STORAGE BAG SKULLS,1,1.95,1.95,0,1,2009-12-08 16:09:00,2009-12-08,14646,Netherlands,Year 2009-2010
491033,5,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,12,0.79,9.48,0,1,2009-12-08 19:16:00,2009-12-08,17188,United Kingdom,Year 2009-2010
491041,436,85185D,FROG SOCK PUPPET,2,6.04,12.08,0,1,2009-12-09 09:42:00,2009-12-09,-1,United Kingdom,Year 2009-2010
491043,456,21714,CITRONELLA CANDLE GARDEN POT,2,2.57,5.14,0,1,2009-12-09 09:51:00,2009-12-09,-1,United Kingdom,Year 2009-2010
491082,12,21804,WHITE CHRISTMAS GARLAND STARS TREES,12,3.75,45.0,0,1,2009-12-09 13:16:00,2009-12-09,16709,United Kingdom,Year 2009-2010
491113,8,22111,SCOTTIE DOG HOT WATER BOTTLE,2,4.95,9.9,0,1,2009-12-09 14:48:00,2009-12-09,14505,United Kingdom,Year 2009-2010
491151,2,21779,MA CAMPAGNE MINI WOODEN CHEST,32,2.95,94.4,0,1,2009-12-10 09:25:00,2009-12-10,14134,United Kingdom,Year 2009-2010
491155,458,84600,NEW BAROQUE JEWELLERY BOX,1,16.48,16.48,0,1,2009-12-10 09:49:00,2009-12-10,-1,United Kingdom,Year 2009-2010
491188,10,21491,SET OF THREE VINTAGE GIFT WRAPS,1,1.95,1.95,0,1,2009-12-10 12:30:00,2009-12-10,17377,United Kingdom,Year 2009-2010
491240,15,22111,SCOTTIE DOG HOT WATER BOTTLE,12,4.95,59.4,0,1,2009-12-10 14:50:00,2009-12-10,13831,United Kingdom,Year 2009-2010
491406,3,35958,FOLKART ZINC STAR CHRISTMAS DEC,3,0.85,2.55,0,1,2009-12-10 18:27:00,2009-12-10,14081,United Kingdom,Year 2009-2010
491435,27,21175,GIN + TONIC DIET METAL SIGN,3,2.1,6.3,0,1,2009-12-11 10:10:00,2009-12-11,14606,United Kingdom,Year 2009-2010
491506,15,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,6,4.95,29.7,0,1,2009-12-11 12:21:00,2009-12-11,16470,United Kingdom,Year 2009-2010
C491632,2,84689,S/2 BEACH HUT TREASURE CHESTS,-1,5.95,-5.95,1,1,2009-12-11 15:14:00,2009-12-11,17841,United Kingdom,Year 2009-2010
491653,5,85049A,TRADITIONAL CHRISTMAS RIBBONS,6,1.25,7.5,0,1,2009-12-13 10:50:00,2009-12-13,18077,United Kingdom,Year 2009-2010
491672,11,82616A,BUBBLE GUM SCARF KNITTING KIT,24,1.25,30.0,0,1,2009-12-13 11:46:00,2009-12-13,17172,United Kingdom,Year 2009-2010
491697,5,21553,CERAMIC BIRDHOUSE FINCH BLUE  LARGE,3,5.95,17.85,0,1,2009-12-13 13:31:00,2009-12-13,13735,United Kingdom,Year 2009-2010
491717,58,21042,RED SPOTTY APRON,1,5.95,5.95,0,1,2009-12-13 15:54:00,2009-12-13,16725,United Kingdom,Year 2009-2010
491750,16,22107,PIZZA PLATE IN BOX,1,3.75,3.75,0,1,2009-12-14 11:48:00,2009-12-14,14527,United Kingdom,Year 2009-2010
491809,18,84247L,FAWN AND MUSHROOM GREETING CARD,12,0.42,5.04,0,1,2009-12-14 13:19:00,2009-12-14,17965,United Kingdom,Year 2009-2010
491839,3,85199S,SMALL HANGING IVORY/RED WOOD BIRD,2,0.42,0.84,0,1,2009-12-14 14:41:00,2009-12-14,-1,United Kingdom,Year 2009-2010
491954,5,47591D,PINK FAIRY CAKE CHILD'S APRON,8,1.95,15.6,0,1,2009-12-14 15:58:00,2009-12-14,12920,United Kingdom,Year 2009-2010
491966,364,35096A,BLUE VICTORIAN FABRIC HEART BOX,1,0.86,0.86,0,1,2009-12-14 17:16:00,2009-12-14,-1,United Kingdom,Year 2009-2010
491969,248,22260,FELT EGG COSY BLUE RABBIT,1,1.7,1.7,0,1,2009-12-14 17:57:00,2009-12-14,-1,United Kingdom,Year 2009-2010
491970,200,21916,SET 12 RETRO WHITE CHALK STICKS,1,0.83,0.83,0,1,2009-12-14 18:03:00,2009-12-14,-1,United Kingdom,Year 2009-2010
491971,214,35981C,WHITE SNOW SCANDINAVIAN STOCKING,1,2.57,2.57,0,1,2009-12-14 18:37:00,2009-12-14,-1,United Kingdom,Year 2009-2010
492004,20,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,6.95,83.4,0,1,2009-12-15 11:25:00,2009-12-15,17082,United Kingdom,Year 2009-2010
492078,3,20966,SANDWICH BATH SPONGE,1,1.25,1.25,0,1,2009-12-15 13:48:00,2009-12-15,14966,United Kingdom,Year 2009-2010
492181,1,72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,24,0.42,10.08,0,1,2009-12-15 15:36:00,2009-12-15,13393,United Kingdom,Year 2009-2010
492226,196,22208,WOOD STAMP SET THANK YOU,1,3.43,3.43,0,1,2009-12-15 18:33:00,2009-12-15,-1,United Kingdom,Year 2009-2010
492252,5,20749,ASSORTED COLOUR MINI CASES,12,6.35,76.2,0,1,2009-12-16 10:56:00,2009-12-16,13999,United Kingdom,Year 2009-2010
492303,285,37449,CERAMIC CAKE STAND + HANGING CAKES,1,21.7,21.7,0,1,2009-12-16 11:57:00,2009-12-16,-1,United Kingdom,Year 2009-2010
492358,38,37423,WHITE WITH BLACK CATS PLATE,12,0.85,10.2,0,1,2009-12-16 13:22:00,2009-12-16,16779,United Kingdom,Year 2009-2010
492414,286,21912,VINTAGE SNAKES & LADDERS,1,7.78,7.78,0,1,2009-12-16 17:01:00,2009-12-16,-1,United Kingdom,Year 2009-2010
492425,60,21535,RETRO SPOT SMALL MILK JUG,1,5.17,5.17,0,1,2009-12-16 17:58:00,2009-12-16,-1,United Kingdom,Year 2009-2010
C492400,1,85147,JARDIN ETCHED GLASS CANDLEHLDR LONG,-2,4.95,-9.9,1,1,2009-12-16 15:38:00,2009-12-16,14540,United Kingdom,Year 2009-2010
